Category,Santa Cruz
Total_doses_administered,96996
Total_people_one_dose,50829
Total_people_complete,43219
total_pouluation,50829
Male-65 years and older,4505
Male-55-64 years,3122
Male-45-54 years,3267
Male-20-44 years,8724
Male-Less than 20 years,4792
Female-65 years and older,5420
Female-55-64 years,3384
Female-45-54 years,3526
Female-20-44 years,8869
Female-Less than 20 years,5144
"Black or African American, non-Hispanic",51
"American Indian or Alaska Native, non-Hispanic",53
"Asian or Pacific Islander, non-Hispanic",183
Unknown,2951
Other Race,3379
"White, non-Hispanic",7200
Hispanic or Latino,37012
