Category,Maricopa
Total_doses_administered,5135191
Total_people_one_dose,2548438
Total_people_complete,2262736
total_pouluation,2548438
Male-65 years and older,279346
Male-55-64 years,184071
Male-45-54 years,178332
Male-20-44 years,424318
Male-Less than 20 years,129255
Female-65 years and older,349559
Female-55-64 years,207571
Female-45-54 years,193828
Female-20-44 years,454881
Female-Less than 20 years,132844
"American Indian or Alaska Native, non-Hispanic",49150
"Black or African American, non-Hispanic",97616
"Asian or Pacific Islander, non-Hispanic",127492
Unknown,167898
Other Race,417702
Hispanic or Latino,418857
"White, non-Hispanic",1269723
