Category,Coconino
Total_doses_administered,185021
Total_people_one_dose,91010
Total_people_complete,80364
total_pouluation,91010
Male-65 years and older,9170
Male-55-64 years,6177
Male-45-54 years,5641
Male-20-44 years,16631
Male-Less than 20 years,5376
Female-65 years and older,10369
Female-55-64 years,7000
Female-45-54 years,5750
Female-20-44 years,18958
Female-Less than 20 years,5676
"Black or African American, non-Hispanic",749
"Asian or Pacific Islander, non-Hispanic",1522
Hispanic or Latino,6739
Other Race,8374
Unknown,12904
"American Indian or Alaska Native, non-Hispanic",21430
"White, non-Hispanic",39292
