Category,Arizona,Apache,Coconino,Cochise,Graham,Greenlee,Gila,La Paz,Maricopa,Mohave,Navajo,Pinal,Pima,Santa Cruz,Yavapai,Yuma
Total_doses_administered,8788702,43479,185021,145555,40250,8396,51304,16451,5135191,168596,89773,474130,1419135,96996,224124,279391
Total_people_complete,410910,17093,80364,64956,18131,3667,22556,7355,2262736,74392,38882,214934,616798,43219,96272,123500
total_pouluation,7189020,24031,91010,75533,20256,4157,25317,8440,2548438,86645,46189,241746,695343,50829,113200,146181
Total_people_one_dose,4423752,24031,91010,75533,20256,4157,25317,8440,2548438,86645,46189,241746,695343,50829,113200,146181
Male-65 years and older,547513,2426,9170,10804,2356,503,5680,2309,279346,20063,7090,35741,89557,4505,25048,15314
Male-55-64 years,317904,1665,6177,5252,1553,370,2194,590,184071,7943,3436,17864,46754,3122,8909,9986
Male-45-54 years,287312,1287,5641,4101,1411,317,1227,314,178332,4137,2555,16379,40212,3267,4873,8879
Male-20-44 years,709323,2994,16631,11068,3471,764,2332,644,424318,7171,5481,36919,107358,8724,9827,26749
Male-Less than 20 years,225488,3372,5376,4326,992,163,640,291,129255,1609,3845,10952,36579,4792,2564,10386
Female-65 years and older,668684,2866,10369,12767,2847,506,6101,2348,349559,22411,7966,41291,115549,5420,30826,17791
Female-55-64 years,362668,1807,7000,6299,1698,315,2554,702,207571,9323,3961,20175,56170,3384,11311,10606
Female-45-54 years,310408,1305,5750,4615,1372,319,1373,360,193828,4679,2566,16657,45725,3526,5816,9751
Female-20-44 years,741368,2826,18958,11623,3468,732,2456,567,454881,7303,5327,34105,117944,8869,10015,25304
Female-Less than 20 years,233375,3475,5676,4579,1076,166,702,298,132844,1832,3927,10917,38051,5144,2863,10890
"Black or African American, non-Hispanic",133082,49,749,1489,87,44,87,37,97616,580,193,8777,15569,51,519,781
"Asian or Pacific Islander, non-Hispanic",167694,107,1522,1396,80,42,198,87,127492,1286,338,4892,20856,183,1340,1149
"American Indian or Alaska Native, non-Hispanic",180144,17764,21430,336,5026,111,2574,449,49150,684,19562,8972,14347,53,1368,1127
Unknown,403090,1068,12904,8745,3966,286,4540,1741,167898,11282,2079,28689,65662,2951,19470,27793
Other Race,644806,1031,8374,11471,1269,82,3974,1119,417702,13989,6107,30145,87595,3379,16673,16913
Hispanic or Latino,801658,520,6739,20104,3569,1865,1369,1245,418857,6744,2345,38647,162945,37012,7634,66289
"White, non-Hispanic",2093278,3492,39292,31992,6259,1727,12575,3762,1269723,52080,15565,121624,328369,7200,66196,32129
