Category,Pinal
Total_doses_administered,474130
Total_people_one_dose,241746
Total_people_complete,214934
total_pouluation,241746
Male-65 years and older,35741
Male-55-64 years,17864
Male-45-54 years,16379
Male-20-44 years,36919
Male-Less than 20 years,10952
Female-65 years and older,41291
Female-55-64 years,20175
Female-45-54 years,16657
Female-20-44 years,34105
Female-Less than 20 years,10917
"Asian or Pacific Islander, non-Hispanic",4892
"Black or African American, non-Hispanic",8777
"American Indian or Alaska Native, non-Hispanic",8972
Unknown,28689
Other Race,30145
Hispanic or Latino,38647
"White, non-Hispanic",121624
