Category,Arizona
Total_doses_administered,8788702
Total_people_complete,410910
total_pouluation,7189020
Total_people_one_dose,4423752
Male-65 years and older,547513
Male-55-64 years,317904
Male-45-54 years,287312
Male-20-44 years,709323
Male-Less than 20 years,225488
Female-65 years and older,668684
Female-55-64 years,362668
Female-45-54 years,310408
Female-20-44 years,741368
Female-Less than 20 years,233375
"Black or African American, non-Hispanic",133082
"Asian or Pacific Islander, non-Hispanic",167694
"American Indian or Alaska Native, non-Hispanic",180144
Unknown,403090
Other Race,644806
Hispanic or Latino,801658
"White, non-Hispanic",2093278
