Category,Yuma
Total_doses_administered,279391
Total_people_one_dose,146181
Total_people_complete,123500
total_pouluation,146181
Male-65 years and older,15314
Male-55-64 years,9986
Male-45-54 years,8879
Male-20-44 years,26749
Male-Less than 20 years,10386
Female-65 years and older,17791
Female-55-64 years,10606
Female-45-54 years,9751
Female-20-44 years,25304
Female-Less than 20 years,10890
"Black or African American, non-Hispanic",781
"American Indian or Alaska Native, non-Hispanic",1127
"Asian or Pacific Islander, non-Hispanic",1149
Other Race,16913
Unknown,27793
"White, non-Hispanic",32129
Hispanic or Latino,66289
