,ARIZONA,STATE_PODS,APACHE,COCHISE,COCONINO,GILA,GRAHAM,GREENLEE,LA_PAZ,MARICOPA,MOHAVE,NAVAJO,PIMA,PINAL,SANTA_CRUZ,YAVAPAI,YUMA
Total_doses_administered,1603558,369785,7709,24120,45935,13449,5918,4372,4476,644639,26815,19160,243148,66648,12118,55468,36069
Total_people_one_dose,1137507,274955,5389,17776,33447,10281,4071,3143,3967,449329,20038,13726,170129,48000,9022,46881,27353
Total_people_complete,465459,106261,,,,,,,,,,,,,,,
Total_doses_ordered,1610310,411412,,,,,,,,,,,,,,,
65 years and older,340973,98720,,,,,,,,,,,,,,,
55-64 years,81834,14917,,,,,,,,,,,,,,,
45-54 years,75221,12371,,,,,,,,,,,,,,,
20-44 years,158199,25350,,,,,,,,,,,,,,,
Less than 20 years,5141,875,,,,,,,,,,,,,,,
65 years and older,276744,85650,,,,,,,,,,,,,,,
55-64 years,51002,9728,,,,,,,,,,,,,,,
45-54 years,47877,8895,,,,,,,,,,,,,,,
20-44 years,94171,16732,,,,,,,,,,,,,,,
Less than 20 years,3204,565,,,,,,,,,,,,,,,
Native Hawaiian or Other Pacific Islander,2586,510,,,,,,,,,,,,,,,
Black or African American,17218,1307,,,,,,,,,,,,,,,
Asian,25801,3866,,,,,,,,,,,,,,,
American Indian or Alaska Native,34315,6970,,,,,,,,,,,,,,,
Hispanic or Latino,91262,10532,,,,,,,,,,,,,,,
Other Race/Unknown,407415,81924,,,,,,,,,,,,,,,
White,559953,169907,,,,,,,,,,,,,,,
