Category,Santa Cruz
Total_doses_administered,74585
Total_people_one_dose,41316
Total_people_complete,37420
Total_doses_ordered,49512
total_pouluation,53161
Male-65 years and older,3707
Male-55-64 years,2687
Male-45-54 years,3175
Male-20-44 years,8157
Male-Less than 20 years,2866
Female-65 years and older,4483
Female-55-64 years,2723
Female-45-54 years,2993
Female-20-44 years,7554
Female-Less than 20 years,2901
"American Indian or Alaska Native, non-Hispanic",20
"Black or African American, non-Hispanic",38
"Asian or Pacific Islander, non-Hispanic",103
Other Race,2091
Unknown,2400
"White, non-Hispanic",4984
Hispanic or Latino,31680
