Category,Graham
Total_doses_administered,24263
Total_people_one_dose,13473
Total_people_complete,12055
Total_doses_ordered,21520
total_pouluation,38476
Male-65 years and older,1734
Male-55-64 years,1054
Male-45-54 years,969
Male-20-44 years,2327
Male-Less than 20 years,508
Female-65 years and older,2191
Female-55-64 years,1216
Female-45-54 years,888
Female-20-44 years,1981
Female-Less than 20 years,593
"Asian or Pacific Islander, non-Hispanic",71
"Black or African American, non-Hispanic",80
Other Race,1019
"American Indian or Alaska Native, non-Hispanic",1137
Hispanic or Latino,2237
Unknown,4235
"White, non-Hispanic",4694
