Category,Cochise
Total_doses_administered,129038
Total_people_one_dose,71950
Total_people_complete,63356
Total_doses_ordered,94500
total_pouluation,130808
Male-65 years and older,11087
Male-55-64 years,5356
Male-45-54 years,4015
Male-20-44 years,10622
Male-Less than 20 years,3030
Female-65 years and older,13117
Female-55-64 years,6454
Female-45-54 years,4574
Female-20-44 years,10525
Female-Less than 20 years,3077
"American Indian or Alaska Native, non-Hispanic",348
"Asian or Pacific Islander, non-Hispanic",1359
"Black or African American, non-Hispanic",1380
Unknown,9691
Other Race,10887
Hispanic or Latino,17612
"White, non-Hispanic",30673
