Category,Maricopa
Total_doses_administered,3445602
Total_people_one_dose,1948115
Total_people_complete,1700247
Total_doses_ordered,1721227
total_pouluation,4367835
Male-65 years and older,209406
Male-55-64 years,136900
Male-45-54 years,138160
Male-20-44 years,329931
Male-Less than 20 years,92918
Female-65 years and older,266737
Female-55-64 years,157521
Female-45-54 years,152293
Female-20-44 years,356995
Female-Less than 20 years,95218
"American Indian or Alaska Native, non-Hispanic",42220
"Black or African American, non-Hispanic",76449
"Asian or Pacific Islander, non-Hispanic",87300
Unknown,187937
Other Race,299331
Hispanic or Latino,360215
"White, non-Hispanic",894663
