Category,Arizona
Total_doses_administered,7865204
Total_people_complete,3773833
Total_doses_ordered,5422016
total_pouluation,7189020
Total_people_one_dose,4263482
Male-65 years and older,558944
Male-55-64 years,312747
Male-45-54 years,277419
Male-20-44 years,672166
Male-Less than 20 years,180206
Female-65 years and older,685253
Female-55-64 years,359314
Female-45-54 years,302454
Female-20-44 years,706825
Female-Less than 20 years,188281
"Black or African American, non-Hispanic",119676
"American Indian or Alaska Native, non-Hispanic",128720
"Asian or Pacific Islander, non-Hispanic",156678
Unknown,449702
Other Race,711624
Hispanic or Latino,735496
"White, non-Hispanic",1961586
