Category,Mohave
Total_doses_administered,168278
Total_people_one_dose,95476
Total_people_complete,80085
Total_doses_ordered,136600
total_pouluation,216985
Male-65 years and older,22501
Male-55-64 years,8873
Male-45-54 years,4701
Male-20-44 years,8085
Male-Less than 20 years,1566
Female-65 years and older,25011
Female-55-64 years,10341
Female-45-54 years,5009
Female-20-44 years,7541
Female-Less than 20 years,1681
"Black or African American, non-Hispanic",691
"American Indian or Alaska Native, non-Hispanic",999
"Asian or Pacific Islander, non-Hispanic",1376
Hispanic or Latino,7053
Unknown,16255
Other Race,16486
"White, non-Hispanic",52616
