Category,Coconino
Total_doses_administered,160599
Total_people_one_dose,87651
Total_people_complete,78466
Total_doses_ordered,110439
total_pouluation,147275
Male-65 years and older,8379
Male-55-64 years,6272
Male-45-54 years,5673
Male-20-44 years,17425
Male-Less than 20 years,3503
Female-65 years and older,9467
Female-55-64 years,6971
Female-45-54 years,5821
Female-20-44 years,19902
Female-Less than 20 years,4141
"Black or African American, non-Hispanic",668
"Asian or Pacific Islander, non-Hispanic",1330
Hispanic or Latino,6488
Other Race,10055
Unknown,17224
"American Indian or Alaska Native, non-Hispanic",18285
"White, non-Hispanic",33601
