Category,Gila
Total_doses_administered,56806
Total_people_one_dose,30771
Total_people_complete,27479
Total_doses_ordered,38520
total_pouluation,55159
Male-65 years and older,6088
Male-55-64 years,2714
Male-45-54 years,1711
Male-20-44 years,3459
Male-Less than 20 years,872
Female-65 years and older,6437
Female-55-64 years,3028
Female-45-54 years,1802
Female-20-44 years,3603
Female-Less than 20 years,994
"Black or African American, non-Hispanic",100
"Asian or Pacific Islander, non-Hispanic",265
Hispanic or Latino,1427
Other Race,5076
Unknown,5581
"American Indian or Alaska Native, non-Hispanic",6324
"White, non-Hispanic",11998
