Category,Navajo
Total_doses_administered,82806
Total_people_one_dose,46556
Total_people_complete,39449
Total_doses_ordered,44665
total_pouluation,112825
Male-65 years and older,7394
Male-55-64 years,3773
Male-45-54 years,2730
Male-20-44 years,5830
Male-Less than 20 years,3280
Female-65 years and older,8121
Female-55-64 years,4062
Female-45-54 years,2707
Female-20-44 years,5200
Female-Less than 20 years,3423
"Black or African American, non-Hispanic",242
"Asian or Pacific Islander, non-Hispanic",431
Hispanic or Latino,2435
Unknown,2500
Other Race,8745
"White, non-Hispanic",15849
"American Indian or Alaska Native, non-Hispanic",16354
