Category,Coconino
Total_doses_administered,170337
Total_people_one_dose,86959
Total_people_complete,79287
total_pouluation,86959
Male-65 years and older,8993
Male-55-64 years,6069
Male-45-54 years,5537
Male-20-44 years,16223
Male-Less than 20 years,4178
Female-65 years and older,10180
Female-55-64 years,6872
Female-45-54 years,5676
Female-20-44 years,18483
Female-Less than 20 years,4491
"Black or African American, non-Hispanic",663
"Asian or Pacific Islander, non-Hispanic",1393
Hispanic or Latino,6281
Other Race,10454
Unknown,15392
"American Indian or Alaska Native, non-Hispanic",18941
"White, non-Hispanic",33835
