Category,Cochise
Total_doses_administered,132685
Total_people_one_dose,71374
Total_people_complete,63685
total_pouluation,71374
Male-65 years and older,10485
Male-55-64 years,5087
Male-45-54 years,3928
Male-20-44 years,10645
Male-Less than 20 years,3362
Female-65 years and older,12489
Female-55-64 years,6167
Female-45-54 years,4444
Female-20-44 years,11160
Female-Less than 20 years,3513
"American Indian or Alaska Native, non-Hispanic",307
"Asian or Pacific Islander, non-Hispanic",1329
"Black or African American, non-Hispanic",1361
Unknown,9657
Other Race,11473
Hispanic or Latino,17764
"White, non-Hispanic",29483
