Category,Apache
Total_doses_administered,38453
Total_people_one_dose,21243
Total_people_complete,16646
total_pouluation,21243
Male-65 years and older,2249
Male-55-64 years,1540
Male-45-54 years,1172
Male-20-44 years,2763
Male-Less than 20 years,2705
Female-65 years and older,2634
Female-55-64 years,1633
Female-45-54 years,1180
Female-20-44 years,2582
Female-Less than 20 years,2777
"Black or African American, non-Hispanic",47
"Asian or Pacific Islander, non-Hispanic",110
Hispanic or Latino,484
Other Race,1232
Unknown,1511
"White, non-Hispanic",3231
"American Indian or Alaska Native, non-Hispanic",14628
