Category,Arizona
Total_doses_administered,8249120
Total_people_complete,371495
total_pouluation,7189020
Total_people_one_dose,4254278
Male-65 years and older,533006
Male-55-64 years,311622
Male-45-54 years,280908
Male-20-44 years,689218
Male-Less than 20 years,189032
Female-65 years and older,653531
Female-55-64 years,355643
Female-45-54 years,303898
Female-20-44 years,720449
Female-Less than 20 years,197432
"Black or African American, non-Hispanic",120532
"Asian or Pacific Islander, non-Hispanic",153924
"American Indian or Alaska Native, non-Hispanic",160653
Unknown,475353
Other Race,681580
Hispanic or Latino,753574
"White, non-Hispanic",1908662
