Category,Santa Cruz
Total_doses_administered,85783
Total_people_one_dose,45956
Total_people_complete,42470
total_pouluation,45956
Male-65 years and older,4384
Male-55-64 years,3035
Male-45-54 years,3152
Male-20-44 years,8456
Male-Less than 20 years,3226
Female-65 years and older,5280
Female-55-64 years,3281
Female-45-54 years,3342
Female-20-44 years,8407
Female-Less than 20 years,3338
"Black or African American, non-Hispanic",47
"American Indian or Alaska Native, non-Hispanic",48
"Asian or Pacific Islander, non-Hispanic",169
Unknown,2907
Other Race,3118
"White, non-Hispanic",6715
Hispanic or Latino,32952
