Category,Yavapai
Total_doses_administered,205548
Total_people_one_dose,109737
Total_people_complete,94353
total_pouluation,109737
Male-65 years and older,24206
Male-55-64 years,8735
Male-45-54 years,4772
Male-20-44 years,9530
Male-Less than 20 years,2231
Female-65 years and older,30088
Female-55-64 years,11137
Female-45-54 years,5673
Female-20-44 years,9680
Female-Less than 20 years,2537
"Black or African American, non-Hispanic",483
"American Indian or Alaska Native, non-Hispanic",1228
"Asian or Pacific Islander, non-Hispanic",1241
Hispanic or Latino,7268
Other Race,17089
Unknown,24973
"White, non-Hispanic",57455
