Category,Maricopa
Total_doses_administered,4873970
Total_people_one_dose,2471662
Total_people_complete,2228653
total_pouluation,2471662
Male-65 years and older,274842
Male-55-64 years,181532
Male-45-54 years,175124
Male-20-44 years,414504
Male-Less than 20 years,111476
Female-65 years and older,344342
Female-55-64 years,204778
Female-45-54 years,190709
Female-20-44 years,444323
Female-Less than 20 years,115624
"American Indian or Alaska Native, non-Hispanic",45468
"Black or African American, non-Hispanic",89308
"Asian or Pacific Islander, non-Hispanic",117551
Unknown,195214
Hispanic or Latino,399271
Other Race,446713
"White, non-Hispanic",1178137
