,ARIZONA,STATE_PODS,APACHE,COCHISE,COCONINO,GILA,GRAHAM,GREENLEE,LA_PAZ,MARICOPA,MOHAVE,NAVAJO,PIMA,PINAL,SANTA_CRUZ,YAVAPAI,YUMA
Total_doses_administered,,536798,9786,34488,61997,19373,7301,5586,6953,819260,39148,23699,309653,93028,16612,79379,53246
Total_people_one_dose,1386347,350365,6201,24300,42705,14002,4646,3463,4520,533514,26129,16101,200093,63167,10768,51125,35248
Total_people_complete,774250,,,,,,,,,,,,,,,,
Total_doses_ordered,2246650,,,,,,,,,,,,,,,,
65 years and older,416585,,,,,,,,,,,,,,,,
55-64 years,112542,,,,,,,,,,,,,,,,
45-54 years,85413,,,,,,,,,,,,,,,,
20-44 years,179625,,,,,,,,,,,,,,,,
Less than 20 years,6743,,,,,,,,,,,,,,,,
65 years and older,336554,,,,,,,,,,,,,,,,
55-64 years,75766,,,,,,,,,,,,,,,,
45-54 years,55613,,,,,,,,,,,,,,,,
20-44 years,110279,,,,,,,,,,,,,,,,
Less than 20 years,4318,,,,,,,,,,,,,,,,
Native Hawaiian or Other Pacific Islander,3221,,,,,,,,,,,,,,,,
Black or African American,22284,,,,,,,,,,,,,,,,
Asian,31708,,,,,,,,,,,,,,,,
American Indian or Alaska Native,39487,,,,,,,,,,,,,,,,
Hispanic or Latino,117034,,,,,,,,,,,,,,,,
Other Race/Unknown,491702,,,,,,,,,,,,,,,,
White,682448,,,,,,,,,,,,,,,,
