Category,Arizona
Total_doses_administered,7370779
Total_people_complete,3555870
Total_doses_ordered,5327230
total_pouluation,7189020
Total_people_one_dose,4038946
Male-65 years and older,524049
Male-55-64 years,302760
Male-45-54 years,265527
Male-20-44 years,632482
Male-Less than 20 years,167614
Female-65 years and older,645900
Female-55-64 years,348090
Female-45-54 years,290318
Female-20-44 years,666899
Female-Less than 20 years,175774
"Black or African American, non-Hispanic",111056
"American Indian or Alaska Native, non-Hispanic",119797
"Asian or Pacific Islander, non-Hispanic",151019
Unknown,432792
Other Race,680535
Hispanic or Latino,688056
"White, non-Hispanic",1855691
