Category,Mohave
Total_doses_administered,159026
Total_people_one_dose,91247
Total_people_complete,75538
Total_doses_ordered,133040
total_pouluation,216985
Male-65 years and older,21794
Male-55-64 years,8580
Male-45-54 years,4457
Male-20-44 years,7462
Male-Less than 20 years,1362
Female-65 years and older,24305
Female-55-64 years,9991
Female-45-54 years,4726
Female-20-44 years,6955
Female-Less than 20 years,1457
"Black or African American, non-Hispanic",639
"American Indian or Alaska Native, non-Hispanic",951
"Asian or Pacific Islander, non-Hispanic",1320
Hispanic or Latino,6565
Unknown,15252
Other Race,16130
"White, non-Hispanic",50390
