Category,Navajo
Total_doses_administered,78250
Total_people_one_dose,44092
Total_people_complete,37350
Total_doses_ordered,41810
total_pouluation,112825
Male-65 years and older,7012
Male-55-64 years,3652
Male-45-54 years,2586
Male-20-44 years,5435
Male-Less than 20 years,3109
Female-65 years and older,7699
Female-55-64 years,3912
Female-45-54 years,2608
Female-20-44 years,4811
Female-Less than 20 years,3234
"Black or African American, non-Hispanic",228
"Asian or Pacific Islander, non-Hispanic",422
Unknown,2238
Hispanic or Latino,2293
Other Race,8429
"White, non-Hispanic",14867
"American Indian or Alaska Native, non-Hispanic",15615
