Category,Apache
Total_doses_administered,33704
Total_people_one_dose,18906
Total_people_complete,12498
Total_doses_ordered,16700
total_pouluation,71808
Male-65 years and older,1969
Male-55-64 years,1314
Male-45-54 years,1041
Male-20-44 years,2537
Male-Less than 20 years,2531
Female-65 years and older,2077
Female-55-64 years,1445
Female-45-54 years,1040
Female-20-44 years,2331
Female-Less than 20 years,2611
"Asian or Pacific Islander, non-Hispanic",170
"Black or African American, non-Hispanic",290
Unknown,1022
Other Race,1285
Hispanic or Latino,1882
"White, non-Hispanic",3299
"American Indian or Alaska Native, non-Hispanic",10958
