Category,Yavapai
Total_doses_administered,193547
Total_people_one_dose,110899
Total_people_complete,92911
Total_doses_ordered,169890
total_pouluation,232386
Male-65 years and older,24204
Male-55-64 years,8656
Male-45-54 years,5072
Male-20-44 years,9919
Male-Less than 20 years,2131
Female-65 years and older,30211
Female-55-64 years,11054
Female-45-54 years,5907
Female-20-44 years,10072
Female-Less than 20 years,2360
"Black or African American, non-Hispanic",606
"American Indian or Alaska Native, non-Hispanic",1130
"Asian or Pacific Islander, non-Hispanic",1454
Hispanic or Latino,7060
Other Race,17044
Unknown,27501
"White, non-Hispanic",56104
