Category,Coconino
Total_doses_administered,153266
Total_people_one_dose,84141
Total_people_complete,75628
Total_doses_ordered,97448
total_pouluation,147275
Male-65 years and older,7867
Male-55-64 years,6108
Male-45-54 years,5516
Male-20-44 years,16724
Male-Less than 20 years,3254
Female-65 years and older,8943
Female-55-64 years,6844
Female-45-54 years,5639
Female-20-44 years,19191
Female-Less than 20 years,3971
"Black or African American, non-Hispanic",623
"Asian or Pacific Islander, non-Hispanic",1274
Hispanic or Latino,6013
Other Race,9764
Unknown,17004
"American Indian or Alaska Native, non-Hispanic",17577
"White, non-Hispanic",31886
