Category,Apache
Total_doses_administered,44024
Total_people_one_dose,24277
Total_people_complete,17162
total_pouluation,24277
Male-65 years and older,2441
Male-55-64 years,1679
Male-45-54 years,1297
Male-20-44 years,3018
Male-Less than 20 years,3428
Female-65 years and older,2886
Female-55-64 years,1822
Female-45-54 years,1315
Female-20-44 years,2861
Female-Less than 20 years,3522
"Black or African American, non-Hispanic",49
"Asian or Pacific Islander, non-Hispanic",107
Hispanic or Latino,523
Other Race,1038
Unknown,1083
"White, non-Hispanic",3502
"American Indian or Alaska Native, non-Hispanic",17975
