Category,Arizona,Apache,Coconino,Cochise,Graham,Greenlee,Gila,La Paz,Maricopa,Mohave,Navajo,Pinal,Pima,Santa Cruz,Yavapai,Yuma
Total_doses_administered,8848296,44024,186360,146859,40500,8466,51840,16562,5164563,169991,90381,477115,1429584,98421,225949,281694
Total_people_complete,415987,17162,80456,65073,18162,3670,22590,7368,2265589,74574,38947,215322,617699,43262,96493,123815
total_pouluation,7189020,24277,91295,76137,20318,4163,25376,8467,2556436,86960,46345,242448,698152,51871,113587,147121
Total_people_one_dose,4442320,24277,91295,76137,20318,4163,25376,8467,2556436,86960,46345,242448,698152,51871,113587,147121
Male-65 years and older,548838,2441,9193,10824,2358,503,5691,2314,279738,20124,7102,35806,89739,4520,25134,15367
Male-55-64 years,318769,1679,6185,5264,1556,370,2196,590,184398,7971,3450,17903,46877,3139,8929,10001
Male-45-54 years,288012,1297,5659,4116,1412,320,1230,314,178679,4139,2561,16403,40319,3272,4882,8899
Male-20-44 years,711538,3018,16668,11100,3486,764,2334,645,425373,7207,5498,37039,107665,8747,9853,26891
Male-Less than 20 years,229631,3428,5434,4512,995,164,644,294,131147,1633,3869,11067,37288,5260,2626,10635
Female-65 years and older,670084,2886,10388,12795,2850,506,6110,2351,350035,22474,7979,41361,115728,5441,30896,17836
Female-55-64 years,363521,1822,7012,6316,1698,316,2564,705,207866,9349,3968,20202,56275,3400,11329,10644
Female-45-54 years,311157,1315,5770,4632,1375,319,1376,361,194153,4697,2576,16700,45812,3537,5831,9779
Female-20-44 years,743632,2861,18992,11681,3486,733,2469,571,455930,7342,5346,34198,118277,8907,10046,25401
Female-Less than 20 years,237418,3522,5732,4798,1090,166,704,305,134684,1850,3961,11023,38727,5571,2913,11136
"Black or African American, non-Hispanic",133521,49,749,1496,87,44,87,37,97923,580,193,8805,15634,51,522,785
"Asian or Pacific Islander, non-Hispanic",168271,107,1525,1403,80,42,198,87,127910,1289,338,4911,20946,183,1344,1153
"American Indian or Alaska Native, non-Hispanic",181478,17975,21543,337,5037,111,2578,456,49321,689,19631,9030,14379,56,1373,1132
Unknown,407294,1083,12951,8877,3978,289,4546,1751,169760,11415,2125,28827,65894,3129,19543,28024
Other Race,646006,1038,8392,11494,1272,83,3997,1121,418282,14009,6114,30200,87799,3387,16709,17015
Hispanic or Latino,807527,523,6765,20474,3594,1868,1375,1248,421163,6774,2353,38802,164138,37774,7687,66753
"White, non-Hispanic",2098223,3502,39370,32056,6270,1726,12595,3767,1272077,52204,15591,121873,329362,7291,66409,32259
