Category,Gila
Total_doses_administered,51840
Total_people_one_dose,25376
Total_people_complete,22590
total_pouluation,25376
Male-65 years and older,5691
Male-55-64 years,2196
Male-45-54 years,1230
Male-20-44 years,2334
Male-Less than 20 years,644
Female-65 years and older,6110
Female-55-64 years,2564
Female-45-54 years,1376
Female-20-44 years,2469
Female-Less than 20 years,704
"Black or African American, non-Hispanic",87
"Asian or Pacific Islander, non-Hispanic",198
Hispanic or Latino,1375
"American Indian or Alaska Native, non-Hispanic",2578
Other Race,3997
Unknown,4546
"White, non-Hispanic",12595
