Category,La Paz
Total_doses_administered,16562
Total_people_one_dose,8467
Total_people_complete,7368
total_pouluation,8467
Male-65 years and older,2314
Male-55-64 years,590
Male-45-54 years,314
Male-20-44 years,645
Male-Less than 20 years,294
Female-65 years and older,2351
Female-55-64 years,705
Female-45-54 years,361
Female-20-44 years,571
Female-Less than 20 years,305
"Black or African American, non-Hispanic",37
"Asian or Pacific Islander, non-Hispanic",87
"American Indian or Alaska Native, non-Hispanic",456
Other Race,1121
Hispanic or Latino,1248
Unknown,1751
"White, non-Hispanic",3767
