Category,Coconino
Total_doses_administered,186360
Total_people_one_dose,91295
Total_people_complete,80456
total_pouluation,91295
Male-65 years and older,9193
Male-55-64 years,6185
Male-45-54 years,5659
Male-20-44 years,16668
Male-Less than 20 years,5434
Female-65 years and older,10388
Female-55-64 years,7012
Female-45-54 years,5770
Female-20-44 years,18992
Female-Less than 20 years,5732
"Black or African American, non-Hispanic",749
"Asian or Pacific Islander, non-Hispanic",1525
Hispanic or Latino,6765
Other Race,8392
Unknown,12951
"American Indian or Alaska Native, non-Hispanic",21543
"White, non-Hispanic",39370
