Category,Cochise
Total_doses_administered,146859
Total_people_one_dose,76137
Total_people_complete,65073
total_pouluation,76137
Male-65 years and older,10824
Male-55-64 years,5264
Male-45-54 years,4116
Male-20-44 years,11100
Male-Less than 20 years,4512
Female-65 years and older,12795
Female-55-64 years,6316
Female-45-54 years,4632
Female-20-44 years,11681
Female-Less than 20 years,4798
"American Indian or Alaska Native, non-Hispanic",337
"Asian or Pacific Islander, non-Hispanic",1403
"Black or African American, non-Hispanic",1496
Unknown,8877
Other Race,11494
Hispanic or Latino,20474
"White, non-Hispanic",32056
