Category,Pinal
Total_doses_administered,477115
Total_people_one_dose,242448
Total_people_complete,215322
total_pouluation,242448
Male-65 years and older,35806
Male-55-64 years,17903
Male-45-54 years,16403
Male-20-44 years,37039
Male-Less than 20 years,11067
Female-65 years and older,41361
Female-55-64 years,20202
Female-45-54 years,16700
Female-20-44 years,34198
Female-Less than 20 years,11023
"Asian or Pacific Islander, non-Hispanic",4911
"Black or African American, non-Hispanic",8805
"American Indian or Alaska Native, non-Hispanic",9030
Unknown,28827
Other Race,30200
Hispanic or Latino,38802
"White, non-Hispanic",121873
