Category,Yavapai
Total_doses_administered,225949
Total_people_one_dose,113587
Total_people_complete,96493
total_pouluation,113587
Male-65 years and older,25134
Male-55-64 years,8929
Male-45-54 years,4882
Male-20-44 years,9853
Male-Less than 20 years,2626
Female-65 years and older,30896
Female-55-64 years,11329
Female-45-54 years,5831
Female-20-44 years,10046
Female-Less than 20 years,2913
"Black or African American, non-Hispanic",522
"Asian or Pacific Islander, non-Hispanic",1344
"American Indian or Alaska Native, non-Hispanic",1373
Hispanic or Latino,7687
Other Race,16709
Unknown,19543
"White, non-Hispanic",66409
