Category,Yuma
Total_doses_administered,281694
Total_people_one_dose,147121
Total_people_complete,123815
total_pouluation,147121
Male-65 years and older,15367
Male-55-64 years,10001
Male-45-54 years,8899
Male-20-44 years,26891
Male-Less than 20 years,10635
Female-65 years and older,17836
Female-55-64 years,10644
Female-45-54 years,9779
Female-20-44 years,25401
Female-Less than 20 years,11136
"Black or African American, non-Hispanic",785
"American Indian or Alaska Native, non-Hispanic",1132
"Asian or Pacific Islander, non-Hispanic",1153
Other Race,17015
Unknown,28024
"White, non-Hispanic",32259
Hispanic or Latino,66753
