Category,Maricopa
Total_doses_administered,5164563
Total_people_one_dose,2556436
Total_people_complete,2265589
total_pouluation,2556436
Male-65 years and older,279738
Male-55-64 years,184398
Male-45-54 years,178679
Male-20-44 years,425373
Male-Less than 20 years,131147
Female-65 years and older,350035
Female-55-64 years,207866
Female-45-54 years,194153
Female-20-44 years,455930
Female-Less than 20 years,134684
"American Indian or Alaska Native, non-Hispanic",49321
"Black or African American, non-Hispanic",97923
"Asian or Pacific Islander, non-Hispanic",127910
Unknown,169760
Other Race,418282
Hispanic or Latino,421163
"White, non-Hispanic",1272077
