Category,Santa Cruz
Total_doses_administered,98421
Total_people_one_dose,51871
Total_people_complete,43262
total_pouluation,51871
Male-65 years and older,4520
Male-55-64 years,3139
Male-45-54 years,3272
Male-20-44 years,8747
Male-Less than 20 years,5260
Female-65 years and older,5441
Female-55-64 years,3400
Female-45-54 years,3537
Female-20-44 years,8907
Female-Less than 20 years,5571
"Black or African American, non-Hispanic",51
"American Indian or Alaska Native, non-Hispanic",56
"Asian or Pacific Islander, non-Hispanic",183
Unknown,3129
Other Race,3387
"White, non-Hispanic",7291
Hispanic or Latino,37774
