Category,Greenlee
Total_doses_administered,8466
Total_people_one_dose,4163
Total_people_complete,3670
total_pouluation,4163
Male-65 years and older,503
Male-55-64 years,370
Male-45-54 years,320
Male-20-44 years,764
Male-Less than 20 years,164
Female-65 years and older,506
Female-55-64 years,316
Female-45-54 years,319
Female-20-44 years,733
Female-Less than 20 years,166
"Asian or Pacific Islander, non-Hispanic",42
"Black or African American, non-Hispanic",44
Other Race,83
"American Indian or Alaska Native, non-Hispanic",111
Unknown,289
"White, non-Hispanic",1726
Hispanic or Latino,1868
