Category,Navajo
Total_doses_administered,90381
Total_people_one_dose,46345
Total_people_complete,38947
total_pouluation,46345
Male-65 years and older,7102
Male-55-64 years,3450
Male-45-54 years,2561
Male-20-44 years,5498
Male-Less than 20 years,3869
Female-65 years and older,7979
Female-55-64 years,3968
Female-45-54 years,2576
Female-20-44 years,5346
Female-Less than 20 years,3961
"Black or African American, non-Hispanic",193
"Asian or Pacific Islander, non-Hispanic",338
Unknown,2125
Hispanic or Latino,2353
Other Race,6114
"White, non-Hispanic",15591
"American Indian or Alaska Native, non-Hispanic",19631
