Category,Arizona
Total_doses_administered,8848296
Total_people_complete,415987
total_pouluation,7189020
Total_people_one_dose,4442320
Male-65 years and older,548838
Male-55-64 years,318769
Male-45-54 years,288012
Male-20-44 years,711538
Male-Less than 20 years,229631
Female-65 years and older,670084
Female-55-64 years,363521
Female-45-54 years,311157
Female-20-44 years,743632
Female-Less than 20 years,237418
"Black or African American, non-Hispanic",133521
"Asian or Pacific Islander, non-Hispanic",168271
"American Indian or Alaska Native, non-Hispanic",181478
Unknown,407294
Other Race,646006
Hispanic or Latino,807527
"White, non-Hispanic",2098223
