Category,Navajo
Total_doses_administered,82028
Total_people_one_dose,46125
Total_people_complete,39012
Total_doses_ordered,44665
total_pouluation,112825
Male-65 years and older,7301
Male-55-64 years,3754
Male-45-54 years,2711
Male-20-44 years,5783
Male-Less than 20 years,3251
Female-65 years and older,8013
Female-55-64 years,4035
Female-45-54 years,2695
Female-20-44 years,5147
Female-Less than 20 years,3399
"Black or African American, non-Hispanic",239
"Asian or Pacific Islander, non-Hispanic",429
Hispanic or Latino,2418
Unknown,2493
Other Race,8656
"White, non-Hispanic",15654
"American Indian or Alaska Native, non-Hispanic",16236
