Category,Arizona
Total_doses_administered,7773444
Total_people_complete,3734482
Total_doses_ordered,5422016
total_pouluation,7189020
Total_people_one_dose,4217865
Male-65 years and older,548889
Male-55-64 years,310528
Male-45-54 years,275532
Male-20-44 years,665998
Male-Less than 20 years,178757
Female-65 years and older,673716
Female-55-64 years,356767
Female-45-54 years,300528
Female-20-44 years,700618
Female-Less than 20 years,186753
"Black or African American, non-Hispanic",118059
"American Indian or Alaska Native, non-Hispanic",127107
"Asian or Pacific Islander, non-Hispanic",155446
Unknown,448005
Other Race,704110
Hispanic or Latino,728334
"White, non-Hispanic",1936804
