Category,Pinal
Total_doses_administered,341362
Total_people_one_dose,194873
Total_people_complete,173814
Total_doses_ordered,202352
total_pouluation,455210
Male-65 years and older,31363
Male-55-64 years,14480
Male-45-54 years,13784
Male-20-44 years,33281
Male-Less than 20 years,6685
Female-65 years and older,35851
Female-55-64 years,15411
Female-45-54 years,12371
Female-20-44 years,24402
Female-Less than 20 years,6641
"Asian or Pacific Islander, non-Hispanic",3484
"Black or African American, non-Hispanic",5758
"American Indian or Alaska Native, non-Hispanic",9370
Other Race,21111
Hispanic or Latino,31369
Unknown,38668
"White, non-Hispanic",85113
