Category,Apache
Total_doses_administered,35644
Total_people_one_dose,20023
Total_people_complete,13333
Total_doses_ordered,18600
total_pouluation,71808
Male-65 years and older,2070
Male-55-64 years,1408
Male-45-54 years,1105
Male-20-44 years,2731
Male-Less than 20 years,2610
Female-65 years and older,2222
Female-55-64 years,1539
Female-45-54 years,1123
Female-20-44 years,2541
Female-Less than 20 years,2664
"Asian or Pacific Islander, non-Hispanic",178
"Black or African American, non-Hispanic",306
Unknown,1080
Other Race,1330
Hispanic or Latino,2008
"White, non-Hispanic",3464
"American Indian or Alaska Native, non-Hispanic",11657
