Category,Cochise
Total_doses_administered,128015
Total_people_one_dose,71380
Total_people_complete,62936
Total_doses_ordered,94500
total_pouluation,130808
Male-65 years and older,11024
Male-55-64 years,5329
Male-45-54 years,3969
Male-20-44 years,10469
Male-Less than 20 years,2998
Female-65 years and older,13052
Female-55-64 years,6438
Female-45-54 years,4544
Female-20-44 years,10420
Female-Less than 20 years,3044
"American Indian or Alaska Native, non-Hispanic",343
"Asian or Pacific Islander, non-Hispanic",1349
"Black or African American, non-Hispanic",1366
Unknown,9604
Other Race,10819
Hispanic or Latino,17461
"White, non-Hispanic",30438
