Category,Coconino
Total_doses_administered,158949
Total_people_one_dose,87046
Total_people_complete,77934
Total_doses_ordered,110439
total_pouluation,147275
Male-65 years and older,8253
Male-55-64 years,6241
Male-45-54 years,5646
Male-20-44 years,17326
Male-Less than 20 years,3487
Female-65 years and older,9348
Female-55-64 years,6932
Female-45-54 years,5784
Female-20-44 years,19804
Female-Less than 20 years,4128
"Black or African American, non-Hispanic",658
"Asian or Pacific Islander, non-Hispanic",1321
Hispanic or Latino,6438
Other Race,9998
Unknown,17202
"American Indian or Alaska Native, non-Hispanic",18176
"White, non-Hispanic",33253
