Category,Mohave
Total_doses_administered,167189
Total_people_one_dose,94950
Total_people_complete,79631
Total_doses_ordered,136600
total_pouluation,216985
Male-65 years and older,22394
Male-55-64 years,8845
Male-45-54 years,4665
Male-20-44 years,7994
Male-Less than 20 years,1556
Female-65 years and older,24930
Female-55-64 years,10287
Female-45-54 years,4978
Female-20-44 years,7467
Female-Less than 20 years,1668
"Black or African American, non-Hispanic",687
"American Indian or Alaska Native, non-Hispanic",989
"Asian or Pacific Islander, non-Hispanic",1372
Hispanic or Latino,7002
Unknown,16169
Other Race,16419
"White, non-Hispanic",52312
