Category,Maricopa
Total_doses_administered,3386239
Total_people_one_dose,1915812
Total_people_complete,1671772
Total_doses_ordered,1721227
total_pouluation,4367835
Male-65 years and older,201848
Male-55-64 years,135284
Male-45-54 years,136897
Male-20-44 years,326202
Male-Less than 20 years,91979
Female-65 years and older,258118
Female-55-64 years,155666
Female-45-54 years,150926
Female-20-44 years,352679
Female-Less than 20 years,94238
"American Indian or Alaska Native, non-Hispanic",41624
"Black or African American, non-Hispanic",75196
"Asian or Pacific Islander, non-Hispanic",86334
Unknown,186345
Other Race,293469
Hispanic or Latino,355809
"White, non-Hispanic",877035
