Category,Arizona
Total_doses_administered,7797926
Total_people_complete,3744449
Total_doses_ordered,5422016
total_pouluation,7189020
Total_people_one_dose,4229690
Male-65 years and older,551528
Male-55-64 years,311054
Male-45-54 years,276059
Male-20-44 years,667638
Male-Less than 20 years,179153
Female-65 years and older,676601
Female-55-64 years,357408
Female-45-54 years,301011
Female-20-44 years,702282
Female-Less than 20 years,187157
"Black or African American, non-Hispanic",118452
"American Indian or Alaska Native, non-Hispanic",127497
"Asian or Pacific Islander, non-Hispanic",155768
Unknown,448868
Other Race,705960
Hispanic or Latino,730300
"White, non-Hispanic",1942845
