Category,Gila
Total_doses_administered,56556
Total_people_one_dose,30659
Total_people_complete,27346
Total_doses_ordered,38520
total_pouluation,55159
Male-65 years and older,6073
Male-55-64 years,2708
Male-45-54 years,1703
Male-20-44 years,3432
Male-Less than 20 years,866
Female-65 years and older,6422
Female-55-64 years,3021
Female-45-54 years,1792
Female-20-44 years,3587
Female-Less than 20 years,992
"Black or African American, non-Hispanic",101
"Asian or Pacific Islander, non-Hispanic",264
Hispanic or Latino,1427
Other Race,5062
Unknown,5573
"American Indian or Alaska Native, non-Hispanic",6296
"White, non-Hispanic",11936
