Category,Santa Cruz
Total_doses_administered,74361
Total_people_one_dose,41209
Total_people_complete,37290
Total_doses_ordered,49512
total_pouluation,53161
Male-65 years and older,3697
Male-55-64 years,2688
Male-45-54 years,3171
Male-20-44 years,8136
Male-Less than 20 years,2850
Female-65 years and older,4470
Female-55-64 years,2725
Female-45-54 years,2989
Female-20-44 years,7533
Female-Less than 20 years,2880
"American Indian or Alaska Native, non-Hispanic",19
"Black or African American, non-Hispanic",38
"Asian or Pacific Islander, non-Hispanic",103
Other Race,2087
Unknown,2403
"White, non-Hispanic",4971
Hispanic or Latino,31588
