Category,Yavapai
Total_doses_administered,200421
Total_people_one_dose,114301
Total_people_complete,96447
Total_doses_ordered,175366
total_pouluation,232386
Male-65 years and older,24780
Male-55-64 years,8852
Male-45-54 years,5247
Male-20-44 years,10441
Male-Less than 20 years,2261
Female-65 years and older,30890
Female-55-64 years,11262
Female-45-54 years,6116
Female-20-44 years,10623
Female-Less than 20 years,2514
"Black or African American, non-Hispanic",641
"American Indian or Alaska Native, non-Hispanic",1194
"Asian or Pacific Islander, non-Hispanic",1500
Hispanic or Latino,7439
Other Race,17609
Unknown,27876
"White, non-Hispanic",58042
