Category,Cochise
Total_doses_administered,128355
Total_people_one_dose,71550
Total_people_complete,63093
Total_doses_ordered,94500
total_pouluation,130808
Male-65 years and older,11047
Male-55-64 years,5333
Male-45-54 years,3988
Male-20-44 years,10510
Male-Less than 20 years,3007
Female-65 years and older,13070
Female-55-64 years,6446
Female-45-54 years,4554
Female-20-44 years,10448
Female-Less than 20 years,3054
"American Indian or Alaska Native, non-Hispanic",343
"Asian or Pacific Islander, non-Hispanic",1352
"Black or African American, non-Hispanic",1368
Unknown,9656
Other Race,10833
Hispanic or Latino,17506
"White, non-Hispanic",30492
