Category,Apache
Total_doses_administered,35775
Total_people_one_dose,20128
Total_people_complete,13368
Total_doses_ordered,18600
total_pouluation,71808
Male-65 years and older,2088
Male-55-64 years,1412
Male-45-54 years,1111
Male-20-44 years,2740
Male-Less than 20 years,2613
Female-65 years and older,2249
Female-55-64 years,1556
Female-45-54 years,1129
Female-20-44 years,2555
Female-Less than 20 years,2665
"Asian or Pacific Islander, non-Hispanic",178
"Black or African American, non-Hispanic",307
Unknown,1083
Other Race,1334
Hispanic or Latino,2012
"White, non-Hispanic",3480
"American Indian or Alaska Native, non-Hispanic",11734
