Category,Mohave
Total_doses_administered,167524
Total_people_one_dose,95117
Total_people_complete,79763
Total_doses_ordered,136600
total_pouluation,216985
Male-65 years and older,22428
Male-55-64 years,8850
Male-45-54 years,4675
Male-20-44 years,8020
Male-Less than 20 years,1559
Female-65 years and older,24964
Female-55-64 years,10302
Female-45-54 years,4989
Female-20-44 years,7491
Female-Less than 20 years,1672
"Black or African American, non-Hispanic",689
"American Indian or Alaska Native, non-Hispanic",991
"Asian or Pacific Islander, non-Hispanic",1373
Hispanic or Latino,7013
Unknown,16219
Other Race,16433
"White, non-Hispanic",52399
