Category,Pima
Total_doses_administered,1021503
Total_people_one_dose,567594
Total_people_complete,503758
Total_doses_ordered,641256
total_pouluation,1044675
Male-65 years and older,76754
Male-55-64 years,38383
Male-45-54 years,33739
Male-20-44 years,85400
Male-Less than 20 years,23578
Female-65 years and older,100516
Female-55-64 years,47144
Female-45-54 years,39368
Female-20-44 years,96836
Female-Less than 20 years,24888
"Black or African American, non-Hispanic",11461
"American Indian or Alaska Native, non-Hispanic",12258
"Asian or Pacific Islander, non-Hispanic",14265
Other Race,72738
Unknown,84307
Hispanic or Latino,137234
"White, non-Hispanic",235331
