Category,La Paz
Total_doses_administered,18593
Total_people_one_dose,10254
Total_people_complete,9131
Total_doses_ordered,19400
total_pouluation,22085
Male-65 years and older,3211
Male-55-64 years,716
Male-45-54 years,355
Male-20-44 years,624
Male-Less than 20 years,204
Female-65 years and older,3109
Female-55-64 years,875
Female-45-54 years,378
Female-20-44 years,542
Female-Less than 20 years,214
"Black or African American, non-Hispanic",36
"Asian or Pacific Islander, non-Hispanic",79
"American Indian or Alaska Native, non-Hispanic",255
Other Race,1170
Hispanic or Latino,1175
Unknown,2727
"White, non-Hispanic",4812
