Category,Maricopa
Total_doses_administered,3401630
Total_people_one_dose,1924149
Total_people_complete,1678902
Total_doses_ordered,1721227
total_pouluation,4367835
Male-65 years and older,203790
Male-55-64 years,135684
Male-45-54 years,137272
Male-20-44 years,327225
Male-Less than 20 years,92249
Female-65 years and older,260199
Female-55-64 years,156101
Female-45-54 years,151292
Female-20-44 years,353850
Female-Less than 20 years,94500
"American Indian or Alaska Native, non-Hispanic",41767
"Black or African American, non-Hispanic",75498
"Asian or Pacific Islander, non-Hispanic",86581
Unknown,187052
Other Race,294942
Hispanic or Latino,357033
"White, non-Hispanic",881276
