Category,Santa Cruz
Total_doses_administered,134711
Total_people_one_dose,67814
Total_people_complete,51471
total_pouluation,67814
Male-65 years and older,4854
Male-55-64 years,3591
Male-45-54 years,3890
Male-20-44 years,10312
Male-Less than 20 years,9858
Female-65 years and older,5923
Female-55-64 years,4067
Female-45-54 years,4323
Female-20-44 years,11126
Female-Less than 20 years,9726
"American Indian or Alaska Native, non-Hispanic",55
"Black or African American, non-Hispanic",62
"Asian or Pacific Islander, non-Hispanic",188
Other Race,3695
Unknown,7388
"White, non-Hispanic",7713
Hispanic or Latino,48713
